Specimen,h(mm),d(mm),bca(mm),fc(MPa),rho(%),rhof(%),Vexp(kN),VexpVR/est1b,VexpVR/est2c,VexpVR/d-d
S1,152,127,152,47.7,0.98,0,433,1.1,1.19,1.38
S2,152,127,152,47.7,0.66,0,379,1.16,1.22,1.42
S3/FRC,152,127,152,25.4,0.98,1,386,1.01,1.09,1.25
S4/FRC,152,127,152,25.4,0.66,1,389,1.15,1.2,1.37
S5/FRM,152,127,152,59.3,0.98,1.5,530,1.03,1.12,1.27
S6/FRM,152,127,152,57.9,0.66,1.5,444,1.03,1.03,1.16
S7/FRC,152,127,152,31,0.98,1.5,522,1.15,1.23,1.41
S8/FRC,152,127,152,31,0.66,1.5,472,1.19,1.2,1.36
S9/FRC,152,127,152,46.1,0.98,1.5,530,0.94,0.93,1.03
S10/FRC,152,127,152,59.1,0.66,1.5,503,1.12,1.12,1.12
FS-1,125,100,150,35.4,0.56,0,173.5,1.1,1.2,1.4
FS-2,125,100,150,34,0.56,0.5,225,1.17,1.23,1.41
FS-3,125,100,150,35.6,0.56,1,247.4,1.07,1.09,1.19
FS-4,125,100,150,35.7,0.56,1,224.4,0.97,0.99,1.08
FS-5,125,100,150,38,0.37,1,198.1,1.08,1.15,1.15
FS-6,125,100,150,35.7,0.37,1,174.5,0.96,1.02,1.02
FS-7,125,100,150,36.6,0.37,1,192.4,1.06,1.12,1.12
FS-19,125,100,150,34.5,0.37,0,136.5,1.12,1.16,1.35
FS-20,125,100,150,37,0.37,1,211,1.06,1.1,1.1
FS-8,125,100,100,36.7,0.56,0,150.3,1.06,1.19,1.38
FS-9,125,100,100,35.6,0.56,1,216.6,1.06,1.12,1.26
FS-10,125,100,200,36.4,0.56,0,191.4,1.1,1.17,1.36
FS-11,125,100,200,34.2,0.56,1,259.8,1.07,1.11,1.11
FS-12,125,100,150,36.1,0.56,1,217.5,1.1,1.13,1.28
FS-13,125,100,150,33.5,0.56,1,235.5,0.96,0.99,1
FS-14,125,100,150,35,0.56,1,239.5,1.16,1.22,1.4
FS-15,125,100,150,31.2,0.56,1,238,1.12,1.13,1.26
FS-16,125,100,150,27.9,0.56,1,227.8,1.18,1.27,1.46
FS-17,125,100,150,46.8,0.56,1,268.4,1.2,1.23,1.4
FS-18,125,100,150,14.2,0.56,1,166,1.09,1.2,1.39
P11F0,155,132.7,200,33.2,0.5,0,257,0.95,0.98,1.15
P11F31,155,132.7,200,35.8,0.5,0.39,324,1.04,1.02,1.18
P11F66,155,132.7,200,35,0.5,0.84,345,0.98,0.97,1.04
P38F0,155,105.7,200,38.1,0.63,0,264,1.22,1.27,1.48
P38F34,155,105.7,200,38.4,0.63,0.43,308,1.21,1.21,1.4
P38F69,155,105.7,200,38.5,0.63,0.88,330,1.12,1.09,1.23
L1,100,80,80,23.1,1.56,0,137.2,1.1,1.14,1.31
L2,100,80,80,24.4,1.56,1,139.6,0.94,1.02,1.18
L3,100,80,80,28.1,1.56,2,163.6,0.89,1,1.16
L4,100,80,80,57,1.56,0,192.9,1.06,1.13,1.31
L5,100,80,80,59.7,1.56,1,215.1,0.98,1.07,1.24
L6,100,80,80,52.4,1.56,2,236.2,0.97,1.08,1.25
OSC S1,100,80,80,43.7,1.56,0,176.5,1.08,1.14,1.32
L7,100,80,80,36.6,1.56,0.75,182.5,1.12,1.2,1.38
L8,100,80,80,46.1,1.56,1.5,210.9,1.08,1.19,1.38
S-1,125,100,150,37.8,0.56,0,197.7,1.13,1.19,1.38
S-2,125,100,150,39,0.56,0.6,243.6,1.08,1.08,1.21
S-3,125,100,150,37.8,0.56,0.9,262.9,1.06,1.08,1.15
S-4,125,100,150,36.9,0.56,1.2,281,1.05,1.07,1.09
S-5,125,100,150,37.8,0.56,0.9,267.2,1.17,1.22,1.22
S-6,125,100,150,38,0.56,0.9,239,1.05,1.09,1.09
S-7,125,100,150,38.9,0.74,0,221.7,1.19,1.34,1.56
S-13,125,100,150,39.3,0.74,0.9,236.7,1.09,1.14,1.31
S-12,125,100,150,36.8,0.74,0.9,249,1,1.05,1.05
S-11,125,100,150,37.1,0.74,0.9,262,1.11,1.15,1.22
S-8,125,100,150,41.1,0.74,0.9,255.7,1.07,1.11,1.14
S-16,125,100,150,38.9,0.56,0.9,213,1.14,1.25,1.25
S-10,125,100,150,38.9,0.46,0.9,203,1.18,1.32,1.32
S-9,125,100,150,38.9,0.37,0.9,179.3,1.15,1.31,1.31
S-19,125,100,150,38.9,0.37,0,130.7,1.23,1.32,1.32
NU,150,109,225,30,1.12,0,306,1.01,1.07,1.24
NB,150,109,225,30,2.18,0,349,1.08,1.24,1.44
FSU,150,109,225,41.5,1.12,0.5,422,1.12,1.15,1.32
FSB,150,109,225,41.5,2.18,0.5,438,1.12,1.22,1.39
B1-01,120,90,60,99,0.87,0,262,1.12,1.21,1.41
B2-01,120,90,60,103,0.87,0.25,318,1.21,1.28,1.47
B3-01,120,90,60,108,0.87,0.51,343,1.16,1.2,1.37
B4-01,120,90,60,106,0.87,0.76,337,1.05,1.06,1.2
B5-01,120,90,60,107,0.87,1.02,369,1.05,1.05,1.17
B1-05,120,92,60,99,0.55,0,201,1.13,1.17,1.29
B3-05,120,92,60,108,0.55,0.51,286,1.22,1.26,1.26
B5-05,120,92,60,107,0.55,1.02,327,1.13,1.17,1.17
B1-06,120,88,60,99,1.29,0,252,0.95,1.04,1.2
B3-06,120,88,60,108,1.29,0.51,361,1.1,1.18,1.35
B5-06,120,88,60,107,1.29,1.02,402,1.05,1.1,1.24
A0,125,105,200,21.7,0.66,0,284,1,1.07,1.24
A1,125,105,200,22.3,0.66,0.4,330,1.04,1.11,1.28
A2,125,105,200,23.4,0.66,0.6,345,1.03,1.08,1.25
A3,125,105,200,25.3,0.66,0.8,397,1.1,1.15,1.32
B0,125,105,200,21.7,0.66,0,301,1.19,1.28,1.49
B1,125,105,200,22.3,0.66,0.4,328,1.17,1.22,1.41
B2,125,105,200,23.4,0.66,0.6,337,1.13,1.16,1.33
B3,125,105,200,25.3,0.66,0.8,347,1.08,1.09,1.25
C0,125,105,200,21.7,0.66,0,264,1.15,1.24,1.44
C1,125,105,200,22.3,0.66,0.4,307,1.19,1.24,1.43
C2,125,105,200,23.4,0.66,0.6,310,1.13,1.15,1.31
C3,125,105,200,25.3,0.66,0.8,326,1,1.09,1.24
A1,55,39,100,29.6,1.12,0,58.8,1.05,1.08,1.25
A2,55,39,100,30,1.12,0.45,63.6,0.98,1.01,1.16
A3,55,39,100,31.4,1.12,0.8,73.1,0.99,1.03,1.18
A4,55,39,100,24.6,1.12,1,64.7,1.03,1.09,1.24
A5,55,39,100,20,1.12,2,58.3,0.86,0.91,1.04
B1,75,55,100,31.4,1.12,0,91.8,0.94,1,1.13
B2,75,55,100,31.4,1.12,0.45,105.9,0.94,1.02,1.16
B3,75,55,100,31.8,1.12,0.8,108.4,0.87,0.94,1.08
B4,75,55,100,29.1,1.12,1,108.8,0.96,1.04,1.19
B5,75,55,100,29.2,1.12,2,134.5,1,1.1,1.27
S11,60,44,100,35.4,1.61,0.5,89.5,1.02,1.09,1.26
S12,60,44,100,49.1,1.61,0.5,102.5,1.02,1.09,1.25
S13,60,44,100,55.1,1.61,0.5,129.5,1.24,1.31,1.51
S14,60,44,100,65.1,1.61,0.5,141,1.26,1.34,1.54
S21,60,44,100,42.2,1.61,0,93.3,1.13,1.18,1.36
S22,60,44,100,48.8,1.61,0.25,98,1.04,1.11,1.28
S23,60,44,100,52.4,1.61,0.75,125.5,1.15,1.23,1.4
S24,60,44,100,53.3,1.61,1,138,1.19,1.26,1.44
S31,60,44,100,49.2,1.61,0.5,98,1.06,1.13,1.3
S32,60,44,100,49.2,1.61,0.5,100,1.06,1.13,1.3
S33,60,44,100,52.8,1.61,0.5,117.5,1.19,1.27,1.46
S34,60,44,100,49.5,1.61,0.5,110,1.13,1.21,1.4
S41,60,44,75,51.1,1.61,0.5,88.5,1.02,1.09,1.25
S42,60,44,150,50.8,1.61,0.5,135,1.05,1.1,1.27
S1,60,45,100,43.3,1.84,0,86.5,1.06,1.12,1.29
S2,60,45,100,52.1,1.84,0.25,93.4,0.99,1.06,1.22
S3,60,45,100,44.7,1.84,0.5,102,1.07,1.15,1.32
S4,60,45,100,46,1.84,0.75,107.5,1.05,1.13,1.29
S5,60,45,100,53,1.84,1,113.6,0.99,1.05,1.2
S6,60,45,100,53,1.84,1.25,122.2,1,1.06,1.21
S7,60,45,100,47,1.6,1,92.6,0.87,0.93,1.06
S8,60,45,100,45.3,2.08,1,111.1,1,1.08,1.24
S9,60,45,100,43.5,2.3,1,111.3,1.01,1.09,1.25
S10,60,45,100,47.6,2.53,1,111.3,0.96,1.03,1.19
S11,60,45,100,29.8,1.84,1,82.1,0.9,0.98,1.13
S12,60,45,100,32.4,1.84,1,84.9,0.9,0.98,1.12
t100-0.67,100,70,100,24.6,0.85,0.67,137.5,1.2,1.18,1.36
t140-0.67,140,110,100,24.6,0.54,0.67,210.2,1.07,1.07,1.14
t180-0.67,180,150,100,24.6,0.4,0.67,297.6,1.07,1.07,1.07
t100-0.72,100,65,100,42.4,0.91,0.72,140.8,1.18,1.18,1.22
t140-0.72,140,105,100,42.4,0.57,0.72,213.2,1.04,1.04,1.04
t180-0.72,180,145,100,42.4,0.41,0.72,290.7,0.99,0.99,0.99
t100-0.91,100,65,100,21.6,0.91,0.91,120.8,1.15,1.16,1.33
t140-0.91,140,105,100,21.6,0.57,0.91,183.1,0.96,0.95,1.06
t180-0.91,180,145,100,21.6,0.41,0.91,231.2,0.83,0.83,0.85
t100-0.63,100,70,100,27.8,0.85,0.63,152.3,1.3,1.28,1.45
t100-0.94,100,70,100,31.1,0.85,0.94,147.9,1.16,1.16,1.27
t100-1.03,100,70,100,30.4,0.85,1.03,158.9,1.24,1.24,1.35
S1,120,100,200,17.4,0.98,0,255,1.07,1.13,1.31
S2,120,100,200,19.6,0.98,1,290,1.08,1.15,1.33
S3,120,100,200,20.2,0.98,1.5,315,1.12,1.19,1.37
S4,120,100,200,15,0.98,1,285,1.17,1.26,1.45
S5,120,100,200,14.9,0.98,1.5,310,1.24,1.33,1.54
